QuestionPublicKey,optionKey,optionText,sortOrder
GMATH_HARD_001,A,19/12,1
GMATH_HARD_001,B,7/4,2
GMATH_HARD_001,C,11/6,3
GMATH_HARD_001,D,83/60,4
GMATH_HARD_002,A,41/24,1
GMATH_HARD_002,B,37/24,2
GMATH_HARD_002,C,43/24,3
GMATH_HARD_002,D,161/120,4
GMATH_HARD_003,A,2/9,1
GMATH_HARD_003,B,11/36,2
GMATH_HARD_003,C,1/18,3
GMATH_HARD_003,D,13/90,4
GMATH_HARD_004,A,293/210,1
GMATH_HARD_004,B,207/140,2
GMATH_HARD_004,C,36/35,3
GMATH_HARD_004,D,43/35,4
GMATH_HARD_005,A,7/24,1
GMATH_HARD_005,B,11/24,2
GMATH_HARD_005,C,13/24,3
GMATH_HARD_005,D,11/120,4
GMATH_HARD_006,A,23/30,1
GMATH_HARD_006,B,3/5,2
GMATH_HARD_006,C,17/20,3
GMATH_HARD_006,D,2/5,4
GMATH_HARD_007,A,19/24,1
GMATH_HARD_007,B,7/8,2
GMATH_HARD_007,C,5/8,3
GMATH_HARD_007,D,17/40,4
GMATH_HARD_008,A,1,1
GMATH_HARD_008,B,13/12,2
GMATH_HARD_008,C,19/30,3
GMATH_HARD_008,D,5/6,4
GMATH_HARD_009,A,14/11,1
GMATH_HARD_009,B,95/66,2
GMATH_HARD_009,C,67/44,3
GMATH_HARD_009,D,59/55,4
GMATH_HARD_010,A,19/30,1
GMATH_HARD_010,B,7/15,2
GMATH_HARD_010,C,43/60,3
GMATH_HARD_010,D,4/15,4
GMATH_HARD_011,A,20,1
GMATH_HARD_011,B,13,2
GMATH_HARD_011,C,16,3
GMATH_HARD_011,D,24,4
GMATH_HARD_012,A,29,1
GMATH_HARD_012,B,22,2
GMATH_HARD_012,C,33,3
GMATH_HARD_012,D,25,4
GMATH_HARD_013,A,36,1
GMATH_HARD_013,B,40,2
GMATH_HARD_013,C,33,3
GMATH_HARD_013,D,44,4
GMATH_HARD_014,A,50,1
GMATH_HARD_014,B,46,2
GMATH_HARD_014,C,43,3
GMATH_HARD_014,D,54,4
GMATH_HARD_015,A,36,1
GMATH_HARD_015,B,29,2
GMATH_HARD_015,C,32,3
GMATH_HARD_015,D,40,4
GMATH_HARD_016,A,50,1
GMATH_HARD_016,B,43,2
GMATH_HARD_016,C,54,3
GMATH_HARD_016,D,46,4
GMATH_HARD_017,A,60,1
GMATH_HARD_017,B,64,2
GMATH_HARD_017,C,57,3
GMATH_HARD_017,D,68,4
GMATH_HARD_018,A,77,1
GMATH_HARD_018,B,73,2
GMATH_HARD_018,C,70,3
GMATH_HARD_018,D,81,4
GMATH_HARD_019,A,52,1
GMATH_HARD_019,B,45,2
GMATH_HARD_019,C,48,3
GMATH_HARD_019,D,56,4
GMATH_HARD_020,A,70,1
GMATH_HARD_020,B,63,2
GMATH_HARD_020,C,74,3
GMATH_HARD_020,D,66,4
GMATH_HARD_021,A,1.875,1
GMATH_HARD_021,B,2.125,2
GMATH_HARD_021,C,1.675,3
GMATH_HARD_021,D,2.375,4
GMATH_HARD_022,A,2.7,1
GMATH_HARD_022,B,2.45,2
GMATH_HARD_022,C,2.25,3
GMATH_HARD_022,D,2.95,4
GMATH_HARD_023,A,3.35,1
GMATH_HARD_023,B,2.9,2
GMATH_HARD_023,C,3.1,3
GMATH_HARD_023,D,3.6,4
GMATH_HARD_024,A,4.075,1
GMATH_HARD_024,B,3.625,2
GMATH_HARD_024,C,4.325,3
GMATH_HARD_024,D,3.825,4
GMATH_HARD_025,A,4.625,1
GMATH_HARD_025,B,4.875,2
GMATH_HARD_025,C,4.425,3
GMATH_HARD_025,D,5.125,4
GMATH_HARD_026,A,3.25,1
GMATH_HARD_026,B,3,2
GMATH_HARD_026,C,2.8,3
GMATH_HARD_026,D,3.5,4
GMATH_HARD_027,A,4.013,1
GMATH_HARD_027,B,3.562,2
GMATH_HARD_027,C,3.763,3
GMATH_HARD_027,D,4.263,4
GMATH_HARD_028,A,4.85,1
GMATH_HARD_028,B,4.4,2
GMATH_HARD_028,C,5.1,3
GMATH_HARD_028,D,4.6,4
GMATH_HARD_029,A,5.513,1
GMATH_HARD_029,B,5.763,2
GMATH_HARD_029,C,5.312,3
GMATH_HARD_029,D,6.013,4
GMATH_HARD_030,A,6.75,1
GMATH_HARD_030,B,6.5,2
GMATH_HARD_030,C,6.3,3
GMATH_HARD_030,D,7,4
GMATH_HARD_031,A,33.8,1
GMATH_HARD_031,B,24.8,2
GMATH_HARD_031,C,28.80,3
GMATH_HARD_031,D,211.2,4
GMATH_HARD_032,A,46.25,1
GMATH_HARD_032,B,37.25,2
GMATH_HARD_032,C,233.75,3
GMATH_HARD_032,D,41.25,4
GMATH_HARD_033,A,55.80,1
GMATH_HARD_033,B,60.8,2
GMATH_HARD_033,C,51.8,3
GMATH_HARD_033,D,254.2,4
GMATH_HARD_034,A,74,1
GMATH_HARD_034,B,69,2
GMATH_HARD_034,C,65,3
GMATH_HARD_034,D,276,4
GMATH_HARD_035,A,100,1
GMATH_HARD_035,B,91,2
GMATH_HARD_035,C,95,3
GMATH_HARD_035,D,285,4
GMATH_HARD_036,A,54.8,1
GMATH_HARD_036,B,45.8,2
GMATH_HARD_036,C,365.2,3
GMATH_HARD_036,D,49.80,4
GMATH_HARD_037,A,67.50,1
GMATH_HARD_037,B,72.5,2
GMATH_HARD_037,C,63.5,3
GMATH_HARD_037,D,382.5,4
GMATH_HARD_038,A,92.3,1
GMATH_HARD_038,B,87.30,2
GMATH_HARD_038,C,83.3,3
GMATH_HARD_038,D,397.7,4
GMATH_HARD_039,A,109,1
GMATH_HARD_039,B,100,2
GMATH_HARD_039,C,104,3
GMATH_HARD_039,D,416,4
GMATH_HARD_040,A,143.75,1
GMATH_HARD_040,B,134.75,2
GMATH_HARD_040,C,416.25,3
GMATH_HARD_040,D,138.75,4
GMATH_HARD_041,A,40,1
GMATH_HARD_041,B,24,2
GMATH_HARD_041,C,48,3
GMATH_HARD_041,D,61,4
GMATH_HARD_042,A,36,1
GMATH_HARD_042,B,54,2
GMATH_HARD_042,C,63,3
GMATH_HARD_042,D,86,4
GMATH_HARD_043,A,50,1
GMATH_HARD_043,B,80,2
GMATH_HARD_043,C,70,3
GMATH_HARD_043,D,115,4
GMATH_HARD_044,A,66,1
GMATH_HARD_044,B,99,2
GMATH_HARD_044,C,148,3
GMATH_HARD_044,D,88,4
GMATH_HARD_045,A,108,1
GMATH_HARD_045,B,36,2
GMATH_HARD_045,C,120,3
GMATH_HARD_045,D,141,4
GMATH_HARD_046,A,52,1
GMATH_HARD_046,B,65,2
GMATH_HARD_046,C,78,3
GMATH_HARD_046,D,113,4
GMATH_HARD_047,A,70,1
GMATH_HARD_047,B,98,2
GMATH_HARD_047,C,84,3
GMATH_HARD_047,D,149,4
GMATH_HARD_048,A,90,1
GMATH_HARD_048,B,120,2
GMATH_HARD_048,C,189,3
GMATH_HARD_048,D,105,4
GMATH_HARD_049,A,128,1
GMATH_HARD_049,B,48,2
GMATH_HARD_049,C,144,3
GMATH_HARD_049,D,173,4
GMATH_HARD_050,A,68,1
GMATH_HARD_050,B,153,2
GMATH_HARD_050,C,170,3
GMATH_HARD_050,D,217,4
GMATH_HARD_051,A,132,1
GMATH_HARD_051,B,116,2
GMATH_HARD_051,C,124,3
GMATH_HARD_051,D,162,4
GMATH_HARD_052,A,140,1
GMATH_HARD_052,B,124,2
GMATH_HARD_052,C,190,3
GMATH_HARD_052,D,132,4
GMATH_HARD_053,A,140,1
GMATH_HARD_053,B,148,2
GMATH_HARD_053,C,132,3
GMATH_HARD_053,D,220,4
GMATH_HARD_054,A,156,1
GMATH_HARD_054,B,148,2
GMATH_HARD_054,C,140,3
GMATH_HARD_054,D,252,4
GMATH_HARD_055,A,164,1
GMATH_HARD_055,B,148,2
GMATH_HARD_055,C,156,3
GMATH_HARD_055,D,286,4
GMATH_HARD_056,A,172,1
GMATH_HARD_056,B,156,2
GMATH_HARD_056,C,322,3
GMATH_HARD_056,D,164,4
GMATH_HARD_057,A,148,1
GMATH_HARD_057,B,156,2
GMATH_HARD_057,C,140,3
GMATH_HARD_057,D,216,4
GMATH_HARD_058,A,164,1
GMATH_HARD_058,B,156,2
GMATH_HARD_058,C,148,3
GMATH_HARD_058,D,250,4
GMATH_HARD_059,A,172,1
GMATH_HARD_059,B,156,2
GMATH_HARD_059,C,164,3
GMATH_HARD_059,D,286,4
GMATH_HARD_060,A,180,1
GMATH_HARD_060,B,164,2
GMATH_HARD_060,C,324,3
GMATH_HARD_060,D,172,4
GMATH_HARD_061,A,120,1
GMATH_HARD_061,B,34,2
GMATH_HARD_061,C,30,3
GMATH_HARD_061,D,150,4
GMATH_HARD_062,A,47,1
GMATH_HARD_062,B,210,2
GMATH_HARD_062,C,36,3
GMATH_HARD_062,D,252,4
GMATH_HARD_063,A,62,1
GMATH_HARD_063,B,42,2
GMATH_HARD_063,C,336,3
GMATH_HARD_063,D,392,4
GMATH_HARD_064,A,76,1
GMATH_HARD_064,B,42,2
GMATH_HARD_064,C,360,3
GMATH_HARD_064,D,288,4
GMATH_HARD_065,A,250,1
GMATH_HARD_065,B,55,2
GMATH_HARD_065,C,40,3
GMATH_HARD_065,D,300,4
GMATH_HARD_066,A,42,1
GMATH_HARD_066,B,216,2
GMATH_HARD_066,C,36,3
GMATH_HARD_066,D,252,4
GMATH_HARD_067,A,53,1
GMATH_HARD_067,B,36,2
GMATH_HARD_067,C,196,3
GMATH_HARD_067,D,245,4
GMATH_HARD_068,A,69,1
GMATH_HARD_068,B,42,2
GMATH_HARD_068,C,384,3
GMATH_HARD_068,D,320,4
GMATH_HARD_069,A,270,1
GMATH_HARD_069,B,51,2
GMATH_HARD_069,C,40,3
GMATH_HARD_069,D,315,4
GMATH_HARD_070,A,64,1
GMATH_HARD_070,B,240,2
GMATH_HARD_070,C,40,3
GMATH_HARD_070,D,300,4
GMATH_HARD_071,A,90,1
GMATH_HARD_071,B,145,2
GMATH_HARD_071,C,80,3
GMATH_HARD_071,D,115,4
GMATH_HARD_072,A,89,1
GMATH_HARD_072,B,141,2
GMATH_HARD_072,C,118,3
GMATH_HARD_072,D,79,4
GMATH_HARD_073,A,78,1
GMATH_HARD_073,B,88,2
GMATH_HARD_073,C,137,3
GMATH_HARD_073,D,121,4
GMATH_HARD_074,A,87,1
GMATH_HARD_074,B,77,2
GMATH_HARD_074,C,133,3
GMATH_HARD_074,D,124,4
GMATH_HARD_075,A,86,1
GMATH_HARD_075,B,129,2
GMATH_HARD_075,C,76,3
GMATH_HARD_075,D,127,4
GMATH_HARD_076,A,70,1
GMATH_HARD_076,B,125,2
GMATH_HARD_076,C,115,3
GMATH_HARD_076,D,60,4
GMATH_HARD_077,A,59,1
GMATH_HARD_077,B,69,2
GMATH_HARD_077,C,121,3
GMATH_HARD_077,D,118,4
GMATH_HARD_078,A,68,1
GMATH_HARD_078,B,58,2
GMATH_HARD_078,C,117,3
GMATH_HARD_078,D,121,4
GMATH_HARD_079,A,67,1
GMATH_HARD_079,B,113,2
GMATH_HARD_079,C,57,3
GMATH_HARD_079,D,124,4
GMATH_HARD_080,A,66,1
GMATH_HARD_080,B,109,2
GMATH_HARD_080,C,127,3
GMATH_HARD_080,D,56,4
GMATH_HARD_081,A,37,1
GMATH_HARD_081,B,35,2
GMATH_HARD_081,C,39,3
GMATH_HARD_081,D,29,4
GMATH_HARD_082,A,41,1
GMATH_HARD_082,B,43,2
GMATH_HARD_082,C,45,3
GMATH_HARD_082,D,35,4
GMATH_HARD_083,A,47,1
GMATH_HARD_083,B,51,2
GMATH_HARD_083,C,49,3
GMATH_HARD_083,D,41,4
GMATH_HARD_084,A,53,1
GMATH_HARD_084,B,57,2
GMATH_HARD_084,C,47,3
GMATH_HARD_084,D,55,4
GMATH_HARD_085,A,41,1
GMATH_HARD_085,B,39,2
GMATH_HARD_085,C,43,3
GMATH_HARD_085,D,33,4
GMATH_HARD_086,A,45,1
GMATH_HARD_086,B,47,2
GMATH_HARD_086,C,49,3
GMATH_HARD_086,D,39,4
GMATH_HARD_087,A,51,1
GMATH_HARD_087,B,55,2
GMATH_HARD_087,C,53,3
