questionId,optionCode,optionText
HM001,A,12/12
HM001,B,12/12a
HM001,C,12/12b
HM001,D,12/12c
HM002,A,3
HM002,B,1.0
HM002,C,6
HM002,D,1
HM003,A,8
HM003,B,11
HM003,C,6
HM003,D,3
HM004,A,22
HM004,B,25
HM004,C,17
HM004,D,20
HM005,A,121
HM005,B,123
HM005,C,126
HM005,D,118
HM006,A,62
HM006,B,60
HM006,C,65
HM006,D,57
HM007,A,338
HM007,B,341
HM007,C,336
HM007,D,333
HM008,A,123
HM008,B,126
HM008,C,118
HM008,D,121
HM009,A,46
HM009,B,48
HM009,C,51
HM009,D,43
HM010,A,28
HM010,B,26
HM010,C,31
HM010,D,23
HM011,A,32/12a
HM011,B,32/12b
HM011,C,32/12
HM011,D,32/12c
HM012,A,8
HM012,B,11
HM012,C,3
HM012,D,6.0
HM013,A,26
HM013,B,28
HM013,C,31
HM013,D,23
HM014,A,72
HM014,B,70
HM014,C,75
HM014,D,67
HM015,A,38
HM015,B,41
HM015,C,36
HM015,D,33
HM016,A,152
HM016,B,155
HM016,C,147
HM016,D,150
HM017,A,288
HM017,B,290
HM017,C,293
HM017,D,285
HM018,A,156
HM018,B,154
HM018,C,159
HM018,D,151
HM019,A,48
HM019,B,51
HM019,C,46
HM019,D,43
HM020,A,38
HM020,B,41
HM020,C,33
HM020,D,36
HM021,A,52/12
HM021,B,52/12a
HM021,C,52/12b
HM021,D,52/12c
HM022,A,13
HM022,B,11.0
HM022,C,16
HM022,D,8
HM023,A,48
HM023,B,51
HM023,C,46
HM023,D,43
HM024,A,122
HM024,B,125
HM024,C,117
HM024,D,120
HM025,A,256
HM025,B,258
HM025,C,261
HM025,D,253
HM026,A,122
HM026,B,120
HM026,C,125
HM026,D,117
HM027,A,290
HM027,B,293
HM027,C,288
HM027,D,285
HM028,A,112
HM028,B,115
HM028,C,107
HM028,D,110
HM029,A,50
HM029,B,52
HM029,C,55
HM029,D,47
HM030,A,48
HM030,B,46
HM030,C,51
HM030,D,43
HM031,A,72/12a
HM031,B,72/12b
HM031,C,72/12
HM031,D,72/12c
HM032,A,18
HM032,B,21
HM032,C,13
HM032,D,16.0
HM033,A,66
HM033,B,68
HM033,C,71
HM033,D,63
HM034,A,172
HM034,B,170
HM034,C,175
HM034,D,167
HM035,A,123
HM035,B,126
HM035,C,121
HM035,D,118
HM036,A,92
HM036,B,95
HM036,C,87
HM036,D,90
HM037,A,252
HM037,B,254
HM037,C,257
HM037,D,249
HM038,A,145
HM038,B,143
HM038,C,148
HM038,D,140
HM039,A,52
HM039,B,55
HM039,C,50
HM039,D,47
HM040,A,58
HM040,B,61
HM040,C,53
HM040,D,56
HM041,A,92/12
HM041,B,92/12a
HM041,C,92/12b
HM041,D,92/12c
HM042,A,23
HM042,B,21.0
HM042,C,26
HM042,D,18
HM043,A,88
HM043,B,91
