questionId,correctAnswer
HM001,A
HM002,B
HM003,C
HM004,D
HM005,A
HM006,B
HM007,C
HM008,D
HM009,A
HM010,B
HM011,C
HM012,D
HM013,A
HM014,B
HM015,C
HM016,D
HM017,A
HM018,B
HM019,C
HM020,D
HM021,A
HM022,B
HM023,C
HM024,D
HM025,A
HM026,B
HM027,C
HM028,D
HM029,A
HM030,B
HM031,C
HM032,D
HM033,A
HM034,B
HM035,C
HM036,D
HM037,A
HM038,B
HM039,C
HM040,D
HM041,A
HM042,B
HM043,C
HM044,D
HM045,A
HM046,B
HM047,C
HM048,D
HM049,A
HM050,B
HM051,C
HM052,D
HM053,A
HM054,B
HM055,C
HM056,D
HM057,A
HM058,B
HM059,C
HM060,D
HM061,A
HM062,B
HM063,C
HM064,D
HM065,A
HM066,B
HM067,C
HM068,D
HM069,A
HM070,B
HM071,C
HM072,D
HM073,A
HM074,B
HM075,C
HM076,D
HM077,A
HM078,B
HM079,C
HM080,D
HM081,A
HM082,B
HM083,C
HM084,D
HM085,A
HM086,B
HM087,C
HM088,D
HM089,A
HM090,B
HM091,C
HM092,D
HM093,A
HM094,B
HM095,C
HM096,D
HM097,A
HM098,B
HM099,C
HM100,D
