QuestionPublicKey,optionKey,optionText,sortOrder
Q001,A,Movement of tectonic plates,1
Q001,B,Wind erosion,2
Q001,C,Ocean tides,3
Q001,D,Cloud formation,4
Q002,A,Crust,1
Q002,B,Outer core,2
Q002,C,Inner core,3
Q002,D,Atmosphere,4
Q003,A,Identify the problem,1
Q003,B,Build the final product,2
Q003,C,Advertise the invention,3
Q003,D,Ignore the constraints,4
Q004,A,To test and improve ideas,1
Q004,B,To decorate the classroom,2
Q004,C,To avoid planning,3
Q004,D,To make the product heavier,4
Q005,A,6/8,1
Q005,B,3/8,2
Q005,C,4/3,3
Q005,D,5/6,4
Q006,A,3/5,1
Q006,B,3/10,2
Q006,C,2/10,3
Q006,D,1/5,4
Q007,A,She,1
Q007,B,Run,2
Q007,C,Blue,3
Q007,D,Quickly,4
Q008,A,"I like apples, oranges, and bananas.",1
Q008,B,I like apples oranges and bananas.,2
Q008,C,"I like apples oranges, and bananas.",3
Q008,D,I like apples; oranges and bananas.,4
Q009,A,Sunlight,1
Q009,B,Plastic,2
Q009,C,Metal,3
Q009,D,Rocks only,4
Q010,A,Circulatory system,1
Q010,B,Digestive system,2
Q010,C,Skeletal system,3
Q010,D,Nervous system,4
Q011,A,Seismograph,1
Q011,B,Thermometer,2
Q011,C,Barometer,3
Q011,D,Compass,4
Q012,A,Magma,1
Q012,B,Lava,2
Q012,C,Granite,3
Q012,D,Soil,4
Q013,A,Seismograph,1
Q013,B,Thermometer,2
Q013,C,Barometer,3
Q013,D,Compass,4
Q014,A,Magma,1
Q014,B,Lava,2
Q014,C,Granite,3
Q014,D,Soil,4
Q015,A,Seismograph,1
Q015,B,Thermometer,2
Q015,C,Barometer,3
Q015,D,Compass,4
Q016,A,Magma,1
Q016,B,Lava,2
Q016,C,Granite,3
Q016,D,Soil,4
Q017,A,Seismograph,1
Q017,B,Thermometer,2
Q017,C,Barometer,3
Q017,D,Compass,4
Q018,A,Magma,1
Q018,B,Lava,2
Q018,C,Granite,3
Q018,D,Soil,4
Q019,A,Seismograph,1
Q019,B,Thermometer,2
Q019,C,Barometer,3
Q019,D,Compass,4
Q020,A,Magma,1
Q020,B,Lava,2
Q020,C,Granite,3
Q020,D,Soil,4
Q021,A,Improve the design,1
Q021,B,Throw away all notes,2
Q021,C,Sell it immediately,3
Q021,D,Ignore the test results,4
Q022,A,Budget,1
Q022,B,Favorite song,2
Q022,C,Lunch menu,3
Q022,D,Book title,4
Q023,A,Improve the design,1
Q023,B,Throw away all notes,2
Q023,C,Sell it immediately,3
Q023,D,Ignore the test results,4
Q024,A,Budget,1
Q024,B,Favorite song,2
Q024,C,Lunch menu,3
Q024,D,Book title,4
Q025,A,Improve the design,1
Q025,B,Throw away all notes,2
Q025,C,Sell it immediately,3
Q025,D,Ignore the test results,4
Q026,A,Budget,1
Q026,B,Favorite song,2
Q026,C,Lunch menu,3
Q026,D,Book title,4
Q027,A,Improve the design,1
Q027,B,Throw away all notes,2
Q027,C,Sell it immediately,3
Q027,D,Ignore the test results,4
Q028,A,Budget,1
Q028,B,Favorite song,2
Q028,C,Lunch menu,3
