QuestionPublicKey,optionKey,answerValue,answerType,toleranceValue,caseSensitive,sortOrder
Q001,A,,,,,1
Q002,A,,,,,1
Q003,A,,,,,1
Q004,A,,,,,1
Q005,A,,,,,1
Q006,A,,,,,1
Q007,A,,,,,1
Q008,A,,,,,1
Q009,A,,,,,1
Q010,A,,,,,1
Q011,A,,,,,1
Q012,A,,,,,1
Q013,A,,,,,1
Q014,A,,,,,1
Q015,A,,,,,1
Q016,A,,,,,1
Q017,A,,,,,1
Q018,A,,,,,1
Q019,A,,,,,1
Q020,A,,,,,1
Q021,A,,,,,1
Q022,A,,,,,1
Q023,A,,,,,1
Q024,A,,,,,1
Q025,A,,,,,1
Q026,A,,,,,1
Q027,A,,,,,1
Q028,A,,,,,1
Q029,A,,,,,1
Q030,A,,,,,1
Q031,A,,,,,1
Q032,A,,,,,1
Q033,A,,,,,1
Q034,A,,,,,1
Q035,A,,,,,1
Q036,A,,,,,1
Q037,A,,,,,1
Q038,A,,,,,1
Q039,A,,,,,1
Q040,A,,,,,1
Q041,A,,,,,1
Q042,A,,,,,1
Q043,A,,,,,1
Q044,A,,,,,1
Q045,A,,,,,1
Q046,A,,,,,1
Q047,A,,,,,1
Q048,A,,,,,1
Q049,A,,,,,1
Q050,A,,,,,1
Q051,A,,,,,1
Q052,A,,,,,1
Q053,A,,,,,1
Q054,A,,,,,1
Q055,A,,,,,1
Q056,A,,,,,1
Q057,A,,,,,1
Q058,A,,,,,1
Q059,A,,,,,1
Q060,A,,,,,1
