QuestionPublicKey,optionKey,optionText,sortOrder
GMATH_001,A,3/4,1
GMATH_001,B,2/6,2
GMATH_001,C,1/6,3
GMATH_001,D,4/8,4
GMATH_002,A,4/6,1
GMATH_002,B,3/5,2
GMATH_002,C,6/12,3
GMATH_002,D,2/6,4
GMATH_003,A,5.9,1
GMATH_003,B,5.7,2
GMATH_003,C,6.0,3
GMATH_003,D,4.9,4
GMATH_004,A,42,1
GMATH_004,B,4.2,2
GMATH_004,C,420,3
GMATH_004,D,0.42,4
GMATH_005,A,90,1
GMATH_005,B,45,2
GMATH_005,C,180,3
GMATH_005,D,360,4
GMATH_006,A,6,1
GMATH_006,B,5,2
GMATH_006,C,7,3
GMATH_006,D,8,4
GMATH_007,A,20,1
GMATH_007,B,9,2
GMATH_007,C,18,3
GMATH_007,D,40,4
GMATH_008,A,24,1
GMATH_008,B,12,2
GMATH_008,C,9,3
GMATH_008,D,18,4
GMATH_009,A,1:2,1
GMATH_009,B,2:1,2
GMATH_009,C,4:2,3
GMATH_009,D,8:4,4
GMATH_010,A,6,1
GMATH_010,B,9,2
GMATH_010,C,5,3
GMATH_010,D,10,4
GMATH_011,A,3/4,1
GMATH_011,B,2/6,2
GMATH_011,C,1/6,3
GMATH_011,D,4/8,4
GMATH_012,A,4/6,1
GMATH_012,B,3/5,2
GMATH_012,C,6/12,3
GMATH_012,D,2/6,4
GMATH_013,A,5.9,1
GMATH_013,B,5.7,2
GMATH_013,C,6.0,3
GMATH_013,D,4.9,4
GMATH_014,A,42,1
GMATH_014,B,4.2,2
GMATH_014,C,420,3
GMATH_014,D,0.42,4
GMATH_015,A,90,1
GMATH_015,B,45,2
GMATH_015,C,180,3
GMATH_015,D,360,4
GMATH_016,A,6,1
GMATH_016,B,5,2
GMATH_016,C,7,3
GMATH_016,D,8,4
GMATH_017,A,20,1
GMATH_017,B,9,2
GMATH_017,C,18,3
GMATH_017,D,40,4
GMATH_018,A,24,1
GMATH_018,B,12,2
GMATH_018,C,9,3
GMATH_018,D,18,4
GMATH_019,A,1:2,1
GMATH_019,B,2:1,2
GMATH_019,C,4:2,3
GMATH_019,D,8:4,4
GMATH_020,A,6,1
GMATH_020,B,9,2
GMATH_020,C,5,3
GMATH_020,D,10,4
GMATH_021,A,3/4,1
GMATH_021,B,2/6,2
GMATH_021,C,1/6,3
GMATH_021,D,4/8,4
GMATH_022,A,4/6,1
GMATH_022,B,3/5,2
GMATH_022,C,6/12,3
GMATH_022,D,2/6,4
GMATH_023,A,5.9,1
GMATH_023,B,5.7,2
GMATH_023,C,6.0,3
GMATH_023,D,4.9,4
GMATH_024,A,42,1
GMATH_024,B,4.2,2
GMATH_024,C,420,3
GMATH_024,D,0.42,4
GMATH_025,A,90,1
GMATH_025,B,45,2
GMATH_025,C,180,3
GMATH_025,D,360,4
GMATH_026,A,6,1
GMATH_026,B,5,2
GMATH_026,C,7,3
GMATH_026,D,8,4
GMATH_027,A,20,1
GMATH_027,B,9,2
GMATH_027,C,18,3
GMATH_027,D,40,4
GMATH_028,A,24,1
GMATH_028,B,12,2
GMATH_028,C,9,3
GMATH_028,D,18,4
GMATH_029,A,1:2,1
GMATH_029,B,2:1,2
GMATH_029,C,4:2,3
GMATH_029,D,8:4,4
GMATH_030,A,6,1
GMATH_030,B,9,2
GMATH_030,C,5,3
GMATH_030,D,10,4
GMATH_031,A,3/4,1
GMATH_031,B,2/6,2
GMATH_031,C,1/6,3
GMATH_031,D,4/8,4
GMATH_032,A,4/6,1
GMATH_032,B,3/5,2
GMATH_032,C,6/12,3
GMATH_032,D,2/6,4
GMATH_033,A,5.9,1
GMATH_033,B,5.7,2
GMATH_033,C,6.0,3
GMATH_033,D,4.9,4
GMATH_034,A,42,1
GMATH_034,B,4.2,2
GMATH_034,C,420,3
GMATH_034,D,0.42,4
GMATH_035,A,90,1
GMATH_035,B,45,2
GMATH_035,C,180,3
GMATH_035,D,360,4
GMATH_036,A,6,1
GMATH_036,B,5,2
GMATH_036,C,7,3
GMATH_036,D,8,4
GMATH_037,A,20,1
GMATH_037,B,9,2
GMATH_037,C,18,3
GMATH_037,D,40,4
GMATH_038,A,24,1
GMATH_038,B,12,2
GMATH_038,C,9,3
GMATH_038,D,18,4
GMATH_039,A,1:2,1
GMATH_039,B,2:1,2
GMATH_039,C,4:2,3
GMATH_039,D,8:4,4
GMATH_040,A,6,1
GMATH_040,B,9,2
GMATH_040,C,5,3
GMATH_040,D,10,4
GMATH_041,A,3/4,1
GMATH_041,B,2/6,2
GMATH_041,C,1/6,3
GMATH_041,D,4/8,4
GMATH_042,A,4/6,1
GMATH_042,B,3/5,2
GMATH_042,C,6/12,3
GMATH_042,D,2/6,4
GMATH_043,A,5.9,1
GMATH_043,B,5.7,2
GMATH_043,C,6.0,3
GMATH_043,D,4.9,4
GMATH_044,A,42,1
GMATH_044,B,4.2,2
GMATH_044,C,420,3
GMATH_044,D,0.42,4
GMATH_045,A,90,1
GMATH_045,B,45,2
GMATH_045,C,180,3
GMATH_045,D,360,4
GMATH_046,A,6,1
GMATH_046,B,5,2
GMATH_046,C,7,3
GMATH_046,D,8,4
GMATH_047,A,20,1
GMATH_047,B,9,2
GMATH_047,C,18,3
GMATH_047,D,40,4
GMATH_048,A,24,1
GMATH_048,B,12,2
GMATH_048,C,9,3
GMATH_048,D,18,4
GMATH_049,A,1:2,1
GMATH_049,B,2:1,2
GMATH_049,C,4:2,3
GMATH_049,D,8:4,4
GMATH_050,A,6,1
GMATH_050,B,9,2
GMATH_050,C,5,3
GMATH_050,D,10,4
GMATH_051,A,3/4,1
GMATH_051,B,2/6,2
GMATH_051,C,1/6,3
GMATH_051,D,4/8,4
GMATH_052,A,4/6,1
GMATH_052,B,3/5,2
GMATH_052,C,6/12,3
GMATH_052,D,2/6,4
GMATH_053,A,5.9,1
GMATH_053,B,5.7,2
GMATH_053,C,6.0,3
GMATH_053,D,4.9,4
GMATH_054,A,42,1
GMATH_054,B,4.2,2
GMATH_054,C,420,3
GMATH_054,D,0.42,4
GMATH_055,A,90,1
GMATH_055,B,45,2
GMATH_055,C,180,3
GMATH_055,D,360,4
GMATH_056,A,6,1
GMATH_056,B,5,2
GMATH_056,C,7,3
GMATH_056,D,8,4
GMATH_057,A,20,1
GMATH_057,B,9,2
GMATH_057,C,18,3
GMATH_057,D,40,4
GMATH_058,A,24,1
