QuestionPublicKey,optionKey,optionText,sortOrder
GMATH_001,A,1,1
GMATH_001,B,7/6,2
GMATH_001,C,5/6,3
GMATH_001,D,1/6,4
GMATH_002,A,13/25,1
GMATH_002,B,1/2,2
GMATH_002,C,3/5,3
GMATH_002,D,3/10,4
GMATH_003,A,29/32,1
GMATH_003,B,1,2
GMATH_003,C,5/8,3
GMATH_003,D,7/8,4
GMATH_004,A,11/9,1
GMATH_004,B,7/6,2
GMATH_004,C,4/3,3
GMATH_004,D,1/2,4
GMATH_005,A,23/25,1
GMATH_005,B,9/10,2
GMATH_005,C,1,3
GMATH_005,D,1/2,4
GMATH_006,A,8/9,1
GMATH_006,B,1,2
GMATH_006,C,5/6,3
GMATH_006,D,1/2,4
GMATH_007,A,56/75,1
GMATH_007,B,11/15,2
GMATH_007,C,4/5,3
GMATH_007,D,7/15,4
GMATH_008,A,29/32,1
GMATH_008,B,1,2
GMATH_008,C,7/8,3
GMATH_008,D,3/8,4
GMATH_009,A,31/27,1
GMATH_009,B,11/9,2
GMATH_009,C,2/9,3
GMATH_009,D,10/9,4
GMATH_010,A,55/72,1
GMATH_010,B,5/6,2
GMATH_010,C,3/4,3
GMATH_010,D,5/12,4
GMATH_011,A,7/10,1
GMATH_011,B,-1/10,2
GMATH_011,C,2/5,3
GMATH_011,D,17/30,4
GMATH_012,A,11/27,1
GMATH_012,B,1/2,2
GMATH_012,C,7/18,3
GMATH_012,D,13/18,4
GMATH_013,A,2/25,1
GMATH_013,B,2/15,2
GMATH_013,C,13/15,3
GMATH_013,D,1/15,4
GMATH_014,A,2/3,1
GMATH_014,B,11/16,2
GMATH_014,C,3/4,3
GMATH_014,D,7/6,4
GMATH_015,A,9/14,1
GMATH_015,B,32/49,2
GMATH_015,C,5/7,3
GMATH_015,D,11/14,4
GMATH_016,A,6.15,1
GMATH_016,B,6.05,2
GMATH_016,C,5.95,3
GMATH_016,D,7.05,4
GMATH_017,A,17.55,1
GMATH_017,B,17.65,2
GMATH_017,C,17.45,3
GMATH_017,D,18.55,4
GMATH_018,A,1.34,1
GMATH_018,B,1.44,2
GMATH_018,C,1.24,3
GMATH_018,D,2.34,4
GMATH_019,A,11,1
GMATH_019,B,11.1,2
GMATH_019,C,10.9,3
GMATH_019,D,12,4
GMATH_020,A,18.15,1
GMATH_020,B,18.05,2
GMATH_020,C,17.95,3
GMATH_020,D,19.05,4
GMATH_021,A,6.23,1
GMATH_021,B,5.13,2
GMATH_021,C,5.23,3
GMATH_021,D,7.23,4
GMATH_022,A,4.55,1
GMATH_022,B,3.55,2
GMATH_022,C,3.45,3
GMATH_022,D,5.55,4
GMATH_023,A,4.45,1
GMATH_023,B,5.45,2
GMATH_023,C,4.35,3
GMATH_023,D,6.45,4
GMATH_024,A,10.75,1
GMATH_024,B,11.75,2
GMATH_024,C,10.65,3
GMATH_024,D,12.75,4
