QuestionPublicKey,optionKey,answerValue,answerType,toleranceValue,caseSensitive,sortOrder
GMATH_001,C,,,,,1
GMATH_002,B,,,,,1
GMATH_003,D,,,,,1
GMATH_004,B,,,,,1
GMATH_005,B,,,,,1
GMATH_006,C,,,,,1
GMATH_007,B,,,,,1
GMATH_008,C,,,,,1
GMATH_009,D,,,,,1
GMATH_010,C,,,,,1
GMATH_011,B,,,,,1
GMATH_012,C,,,,,1
GMATH_013,D,,,,,1
GMATH_014,A,,,,,1
GMATH_015,A,,,,,1
GMATH_016,B,,,,,1
GMATH_017,A,,,,,1
GMATH_018,A,,,,,1
GMATH_019,A,,,,,1
GMATH_020,B,,,,,1
GMATH_021,C,,,,,1
GMATH_022,B,,,,,1
GMATH_023,A,,,,,1
GMATH_024,A,,,,,1
GMATH_025,A,,,,,1
GMATH_026,B,,,,,1
GMATH_027,D,,,,,1
GMATH_028,C,,,,,1
GMATH_029,D,,,,,1
GMATH_030,B,,,,,1
GMATH_031,A,,,,,1
GMATH_032,D,,,,,1
GMATH_033,D,,,,,1
GMATH_034,D,,,,,1
GMATH_035,C,,,,,1
GMATH_036,A,,,,,1
GMATH_037,C,,,,,1
GMATH_038,A,,,,,1
GMATH_039,B,,,,,1
GMATH_040,A,,,,,1
GMATH_041,A,,,,,1
GMATH_042,D,,,,,1
GMATH_043,D,,,,,1
GMATH_044,A,,,,,1
GMATH_045,C,,,,,1
GMATH_046,C,,,,,1
GMATH_047,B,,,,,1
GMATH_048,A,,,,,1
GMATH_049,D,,,,,1
GMATH_050,C,,,,,1
GMATH_051,D,,,,,1
GMATH_052,C,,,,,1
GMATH_053,C,,,,,1
GMATH_054,D,,,,,1
GMATH_055,A,,,,,1
GMATH_056,C,,,,,1
GMATH_057,C,,,,,1
GMATH_058,A,,,,,1
GMATH_059,C,,,,,1
GMATH_060,C,,,,,1
GMATH_061,A,,,,,1
GMATH_062,B,,,,,1
GMATH_063,C,,,,,1
GMATH_064,D,,,,,1
GMATH_065,C,,,,,1
GMATH_066,D,,,,,1
GMATH_067,D,,,,,1
GMATH_068,D,,,,,1
GMATH_069,C,,,,,1
GMATH_070,A,,,,,1
GMATH_071,A,,,,,1
GMATH_072,D,,,,,1
GMATH_073,B,,,,,1
GMATH_074,B,,,,,1
GMATH_075,B,,,,,1
GMATH_076,B,,,,,1
GMATH_077,B,,,,,1
GMATH_078,D,,,,,1
GMATH_079,A,,,,,1
GMATH_080,B,,,,,1
GMATH_081,A,,,,,1
GMATH_082,B,,,,,1
GMATH_083,D,,,,,1
GMATH_084,A,,,,,1
GMATH_085,B,,,,,1
GMATH_086,A,,,,,1
GMATH_087,C,,,,,1
GMATH_088,D,,,,,1
GMATH_089,D,,,,,1
GMATH_090,B,,,,,1
GMATH_091,C,,,,,1
GMATH_092,B,,,,,1
GMATH_093,B,,,,,1
GMATH_094,A,,,,,1
GMATH_095,D,,,,,1
GMATH_096,D,,,,,1
GMATH_097,C,,,,,1
GMATH_098,D,,,,,1
GMATH_099,C,,,,,1
GMATH_100,B,,,,,1
