QuestionPublicKey,optionKey,answerValue,answerType,toleranceValue,caseSensitive,sortOrder
GMATH_001,A,,,,,1
GMATH_002,A,,,,,1
GMATH_003,A,,,,,1
GMATH_004,A,,,,,1
GMATH_005,A,,,,,1
GMATH_006,A,,,,,1
GMATH_007,A,,,,,1
GMATH_008,A,,,,,1
GMATH_009,A,,,,,1
GMATH_010,A,,,,,1
GMATH_011,A,,,,,1
GMATH_012,A,,,,,1
GMATH_013,A,,,,,1
GMATH_014,A,,,,,1
GMATH_015,A,,,,,1
GMATH_016,A,,,,,1
GMATH_017,A,,,,,1
GMATH_018,A,,,,,1
GMATH_019,A,,,,,1
GMATH_020,A,,,,,1
GMATH_021,A,,,,,1
GMATH_022,A,,,,,1
GMATH_023,A,,,,,1
GMATH_024,A,,,,,1
GMATH_025,A,,,,,1
GMATH_026,A,,,,,1
GMATH_027,A,,,,,1
GMATH_028,A,,,,,1
GMATH_029,A,,,,,1
GMATH_030,A,,,,,1
GMATH_031,A,,,,,1
GMATH_032,A,,,,,1
GMATH_033,A,,,,,1
GMATH_034,A,,,,,1
GMATH_035,A,,,,,1
GMATH_036,A,,,,,1
GMATH_037,A,,,,,1
GMATH_038,A,,,,,1
GMATH_039,A,,,,,1
GMATH_040,A,,,,,1
GMATH_041,A,,,,,1
GMATH_042,A,,,,,1
GMATH_043,A,,,,,1
GMATH_044,A,,,,,1
GMATH_045,A,,,,,1
GMATH_046,A,,,,,1
GMATH_047,A,,,,,1
GMATH_048,A,,,,,1
GMATH_049,A,,,,,1
GMATH_050,A,,,,,1
GMATH_051,A,,,,,1
GMATH_052,A,,,,,1
GMATH_053,A,,,,,1
GMATH_054,A,,,,,1
GMATH_055,A,,,,,1
GMATH_056,A,,,,,1
GMATH_057,A,,,,,1
GMATH_058,A,,,,,1
GMATH_059,A,,,,,1
GMATH_060,A,,,,,1
GMATH_061,A,,,,,1
GMATH_062,A,,,,,1
GMATH_063,A,,,,,1
GMATH_064,A,,,,,1
GMATH_065,A,,,,,1
GMATH_066,A,,,,,1
GMATH_067,A,,,,,1
GMATH_068,A,,,,,1
GMATH_069,A,,,,,1
GMATH_070,A,,,,,1
GMATH_071,A,,,,,1
GMATH_072,A,,,,,1
GMATH_073,A,,,,,1
GMATH_074,A,,,,,1
GMATH_075,A,,,,,1
GMATH_076,A,,,,,1
GMATH_077,A,,,,,1
GMATH_078,A,,,,,1
GMATH_079,A,,,,,1
GMATH_080,A,,,,,1
GMATH_081,A,,,,,1
GMATH_082,A,,,,,1
GMATH_083,A,,,,,1
GMATH_084,A,,,,,1
GMATH_085,A,,,,,1
GMATH_086,A,,,,,1
GMATH_087,A,,,,,1
GMATH_088,A,,,,,1
GMATH_089,A,,,,,1
GMATH_090,A,,,,,1
GMATH_091,A,,,,,1
GMATH_092,A,,,,,1
GMATH_093,A,,,,,1
GMATH_094,A,,,,,1
GMATH_095,A,,,,,1
GMATH_096,A,,,,,1
GMATH_097,A,,,,,1
GMATH_098,A,,,,,1
GMATH_099,A,,,,,1
GMATH_100,A,,,,,1
