QuestionPublicKey,optionKey,optionText
STEAM_001,A,Ammeter
STEAM_001,B,Barometer
STEAM_001,C,Stopwatch
STEAM_001,D,Thermometer
STEAM_002,A,pascal
STEAM_002,B,watt
STEAM_002,C,newton
STEAM_002,D,joule
STEAM_003,A,volt
STEAM_003,B,coulomb
STEAM_003,C,ohm
STEAM_003,D,ampere
STEAM_004,A,friction
STEAM_004,B,magnetism
STEAM_004,C,gravity
STEAM_004,D,tension
STEAM_005,A,chemical energy
STEAM_005,B,sound energy
STEAM_005,C,light energy
STEAM_005,D,potential energy
STEAM_006,A,plane mirror
STEAM_006,B,transparent mirror
STEAM_006,C,concave mirror
STEAM_006,D,convex mirror
STEAM_007,A,bulb
STEAM_007,B,cell
STEAM_007,C,switch
STEAM_007,D,wire
STEAM_008,A,speed decreases
STEAM_008,B,speed is unchanged
STEAM_008,C,speed increases
STEAM_008,D,speed becomes zero
STEAM_009,A,a material medium
STEAM_009,B,only sunlight
STEAM_009,C,only vacuum
STEAM_009,D,only a magnet
STEAM_010,A,plastic
STEAM_010,B,dry wood
STEAM_010,C,copper
STEAM_010,D,rubber
STEAM_011,A,carbon dioxide
STEAM_011,B,oxygen
STEAM_011,C,hydrogen
STEAM_011,D,nitrogen
STEAM_012,A,NaCl
STEAM_012,B,O2
STEAM_012,C,CO2
STEAM_012,D,H2O
STEAM_013,A,pure water
STEAM_013,B,base
STEAM_013,C,acid
STEAM_013,D,salt
STEAM_014,A,sublimation
STEAM_014,B,melting
STEAM_014,C,evaporation
STEAM_014,D,condensation
STEAM_015,A,iron
STEAM_015,B,sulfur
STEAM_015,C,oxygen
STEAM_015,D,carbon
STEAM_016,A,potassium nitrate
STEAM_016,B,sodium chloride
STEAM_016,C,sodium bicarbonate
STEAM_016,D,calcium carbonate
STEAM_017,A,oxygen
STEAM_017,B,chlorine
STEAM_017,C,nitrogen
STEAM_017,D,hydrogen
STEAM_018,A,proton
STEAM_018,B,nucleus
STEAM_018,C,electron
STEAM_018,D,neutron
STEAM_019,A,14
STEAM_019,B,10
STEAM_019,C,1
STEAM_019,D,7
STEAM_020,A,filtration
STEAM_020,B,magnetisation
STEAM_020,C,chromatography
STEAM_020,D,distillation
STEAM_021,A,root
STEAM_021,B,fruit
STEAM_021,C,leaf
STEAM_021,D,flower
STEAM_022,A,heart
STEAM_022,B,kidney
STEAM_022,C,stomach
STEAM_022,D,lung
STEAM_023,A,haemoglobin
STEAM_023,B,keratin
STEAM_023,C,melanin
STEAM_023,D,chlorophyll
STEAM_024,A,nitrogen
STEAM_024,B,hydrogen
STEAM_024,C,carbon dioxide
STEAM_024,D,oxygen
STEAM_025,A,vacuole
STEAM_025,B,nucleus
STEAM_025,C,cell wall
STEAM_025,D,cytoplasm
STEAM_026,A,liver
STEAM_026,B,spleen
STEAM_026,C,lungs
STEAM_026,D,pancreas
STEAM_027,A,plasma
STEAM_027,B,platelets
STEAM_027,C,red blood cells
STEAM_027,D,white blood cells
STEAM_028,A,water
STEAM_028,B,minerals
STEAM_028,C,protein
STEAM_028,D,roughage
STEAM_029,A,circulation
STEAM_029,B,digestion
STEAM_029,C,excretion
STEAM_029,D,respiration
STEAM_030,A,bacteria
STEAM_030,B,viruses
