QuestionPublicKey,optionKey
STEAM_001,D
STEAM_002,C
STEAM_003,D
STEAM_004,C
STEAM_005,D
STEAM_006,D
STEAM_007,C
STEAM_008,C
STEAM_009,A
STEAM_010,C
STEAM_011,D
STEAM_012,D
STEAM_013,C
STEAM_014,D
STEAM_015,A
STEAM_016,B
STEAM_017,D
STEAM_018,C
STEAM_019,D
STEAM_020,A
STEAM_021,A
STEAM_022,A
STEAM_023,D
STEAM_024,C
STEAM_025,B
STEAM_026,C
STEAM_027,D
STEAM_028,C
STEAM_029,C
STEAM_030,A
STEAM_031,B
STEAM_032,A
STEAM_033,A
STEAM_034,C
STEAM_035,C
STEAM_036,D
STEAM_037,B
STEAM_038,A
STEAM_039,B
STEAM_040,D
STEAM_041,C
STEAM_042,C
STEAM_043,D
STEAM_044,B
STEAM_045,B
STEAM_046,B
STEAM_047,D
STEAM_048,C
STEAM_049,B
STEAM_050,D
STEAM_051,D
STEAM_052,D
STEAM_053,A
STEAM_054,A
STEAM_055,B
STEAM_056,A
STEAM_057,A
STEAM_058,D
STEAM_059,D
STEAM_060,B
STEAM_061,D
STEAM_062,C
STEAM_063,C
STEAM_064,A
STEAM_065,B
STEAM_066,C
STEAM_067,C
STEAM_068,D
STEAM_069,A
STEAM_070,B
STEAM_071,D
STEAM_072,C
STEAM_073,C
STEAM_074,B
STEAM_075,B
STEAM_076,D
STEAM_077,D
STEAM_078,D
STEAM_079,A
STEAM_080,B
STEAM_081,B
STEAM_082,A
STEAM_083,A
STEAM_084,C
STEAM_085,C
STEAM_086,C
STEAM_087,B
STEAM_088,D
STEAM_089,C
STEAM_090,B
STEAM_091,B
STEAM_092,D
STEAM_093,C
STEAM_094,A
STEAM_095,A
STEAM_096,B
STEAM_097,D
STEAM_098,D
STEAM_099,C
STEAM_100,D
STEAM_101,C
STEAM_102,B
STEAM_103,B
STEAM_104,B
STEAM_105,D
STEAM_106,B
STEAM_107,C
STEAM_108,B
STEAM_109,D
STEAM_110,C
STEAM_111,C
STEAM_112,A
STEAM_113,B
STEAM_114,D
STEAM_115,D
STEAM_116,C
STEAM_117,B
STEAM_118,C
STEAM_119,D
STEAM_120,C
STEAM_121,B
STEAM_122,A
STEAM_123,B
STEAM_124,C
STEAM_125,C
STEAM_126,C
STEAM_127,B
STEAM_128,C
STEAM_129,A
STEAM_130,D
STEAM_131,A
STEAM_132,D
STEAM_133,A
STEAM_134,D
STEAM_135,A
STEAM_136,B
STEAM_137,B
STEAM_138,C
STEAM_139,D
STEAM_140,B
STEAM_141,A
STEAM_142,D
STEAM_143,A
STEAM_144,A
STEAM_145,C
STEAM_146,B
STEAM_147,B
STEAM_148,B
STEAM_149,A
STEAM_150,A
STEAM_151,A
STEAM_152,B
STEAM_153,A
STEAM_154,D
STEAM_155,C
STEAM_156,D
STEAM_157,B
STEAM_158,B
STEAM_159,A
STEAM_160,C
STEAM_161,D
STEAM_162,A
STEAM_163,D
STEAM_164,D
STEAM_165,A
STEAM_166,A
STEAM_167,C
STEAM_168,B
STEAM_169,A
STEAM_170,A
STEAM_171,D
STEAM_172,A
STEAM_173,B
STEAM_174,C
STEAM_175,B
STEAM_176,C
STEAM_177,A
STEAM_178,C
STEAM_179,B
STEAM_180,B
STEAM_181,A
STEAM_182,B
STEAM_183,C
STEAM_184,B
STEAM_185,A
STEAM_186,B
STEAM_187,D
STEAM_188,D
STEAM_189,B
STEAM_190,D
STEAM_191,C
STEAM_192,A
STEAM_193,A
STEAM_194,D
STEAM_195,D
STEAM_196,D
STEAM_197,D
STEAM_198,D
STEAM_199,C
STEAM_200,D
STEAM_201,A
STEAM_202,C
STEAM_203,B
STEAM_204,D
STEAM_205,B
STEAM_206,D
STEAM_207,D
STEAM_208,D
STEAM_209,A
STEAM_210,C
STEAM_211,D
STEAM_212,D
STEAM_213,B
STEAM_214,C
STEAM_215,A
STEAM_216,B
STEAM_217,D
STEAM_218,A
STEAM_219,C
STEAM_220,C
STEAM_221,A
STEAM_222,A
STEAM_223,D
STEAM_224,D
STEAM_225,B
STEAM_226,A
STEAM_227,C
STEAM_228,C
STEAM_229,A
STEAM_230,A
STEAM_231,A
STEAM_232,A
STEAM_233,A
STEAM_234,C
STEAM_235,C
STEAM_236,C
STEAM_237,A
STEAM_238,D
STEAM_239,B
STEAM_240,C
STEAM_241,C
STEAM_242,B
STEAM_243,C
STEAM_244,A
STEAM_245,B
STEAM_246,D
STEAM_247,D
STEAM_248,C
STEAM_249,C
STEAM_250,D
STEAM_251,B
STEAM_252,A
STEAM_253,A
STEAM_254,B
STEAM_255,D
STEAM_256,B
STEAM_257,C
STEAM_258,D
STEAM_259,A
STEAM_260,C
STEAM_261,A
STEAM_262,C
STEAM_263,B
STEAM_264,C
STEAM_265,B
STEAM_266,D
STEAM_267,A
STEAM_268,C
STEAM_269,A
STEAM_270,A
STEAM_271,C
STEAM_272,A
STEAM_273,C
STEAM_274,B
STEAM_275,B
STEAM_276,A
STEAM_277,C
STEAM_278,C
STEAM_279,A
STEAM_280,B
STEAM_281,A
STEAM_282,A
STEAM_283,D
STEAM_284,A
STEAM_285,D
STEAM_286,B
STEAM_287,A
STEAM_288,A
STEAM_289,D
STEAM_290,A
STEAM_291,C
STEAM_292,B
STEAM_293,B
STEAM_294,C
STEAM_295,D
STEAM_296,A
STEAM_297,A
STEAM_298,C
STEAM_299,B
STEAM_300,C
STEAM_301,A
STEAM_302,D
STEAM_303,C
STEAM_304,A
STEAM_305,A
STEAM_306,B
STEAM_307,C
STEAM_308,D
STEAM_309,B
STEAM_310,C
STEAM_311,C
STEAM_312,D
STEAM_313,D
STEAM_314,B
STEAM_315,D
STEAM_316,A
STEAM_317,D
STEAM_318,A
STEAM_319,D
STEAM_320,A
STEAM_321,B
STEAM_322,C
STEAM_323,C
STEAM_324,D
STEAM_325,D
STEAM_326,B
STEAM_327,A
STEAM_328,C
STEAM_329,D
STEAM_330,B
STEAM_331,A
STEAM_332,B
STEAM_333,B
STEAM_334,D
STEAM_335,A
STEAM_336,A
STEAM_337,A
STEAM_338,D
STEAM_339,A
STEAM_340,C
STEAM_341,C
STEAM_342,B
STEAM_343,C
STEAM_344,B
STEAM_345,D
STEAM_346,B
STEAM_347,C
STEAM_348,C
STEAM_349,A
STEAM_350,A
STEAM_351,A
STEAM_352,D
STEAM_353,A
STEAM_354,D
STEAM_355,D
STEAM_356,D
STEAM_357,D
STEAM_358,D
STEAM_359,B
STEAM_360,B
STEAM_361,B
STEAM_362,D
STEAM_363,D
STEAM_364,D
STEAM_365,D
STEAM_366,C
STEAM_367,B
STEAM_368,B
STEAM_369,A
STEAM_370,D
STEAM_371,D
STEAM_372,D
STEAM_373,C
STEAM_374,A
STEAM_375,C
STEAM_376,A
STEAM_377,D
STEAM_378,B
STEAM_379,C
STEAM_380,B
STEAM_381,A
STEAM_382,C
STEAM_383,D
STEAM_384,A
STEAM_385,A
STEAM_386,A
STEAM_387,B
STEAM_388,D
STEAM_389,D
STEAM_390,C
STEAM_391,B
STEAM_392,D
STEAM_393,C
STEAM_394,B
STEAM_395,D
STEAM_396,C
STEAM_397,A
STEAM_398,D
STEAM_399,C
STEAM_400,D
